No,회사,제목,지역,상세보기
37,(주)랩스피너,[랩스피너] 소프트웨어 연구원 모집,경기 화성시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010002505&src=etc*search
38,주식회사가치소프트,2D/3D Vision SW 및 AI SW개발 프로그래머 채용,세종,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605190002443&src=etc*search
39,지니코딩스쿨컴퓨터학원,IT교육/프로그래밍강사/컴퓨터강사/AI교육강사,부산 해운대구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607080001889&src=etc*search
40,(주)디자인그룹나인,[파견/7개월/의왕] 대기업 AI 에이전트 개발자 모집,경기 의왕시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605130001076&src=etc*search
41,엔아이스퀘어,응용 시스템 개발자 모집,광주 광산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605260000117&src=etc*search
42,드림에이치알,AI 개발자-국내 대표적 보안솔루션 전문기업,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606160001076&src=etc*search
43,주식회사 프롭핀테크,개발자 채용합니다.,서울 서초구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605120005720&src=etc*search
44,파워에이치알,[코스피-신용평가업체] 금융권 애플리케이션개발,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290005681&src=etc*search
45,(주)신영에스앤씨,AI·데이터 기반 공정/소재 R&D 신규 연구인력 채용,인천 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290000316&src=etc*search
46,라온지아이 주식회사,트레이딩 시스템 엔지니어 Trading Systems Engineer,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090003081&src=etc*search
47,주식회사 에스더블유엠,[SWM] DI테크센터 인프라 운영 엔지니어 경력직 모집,경기 안양시 동안구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605130001146&src=etc*search
48,주식회사TEF,기업부설연구소 연구원 모집(SW개발),전남 순천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020001593&src=etc*search
49,베스트네트워크(주),43. 데이터 분석 담당자[글로벌 리딩 보험사],서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607100003341&src=etc*search
50,(주)지에프,S/W개발자 모집,광주 광산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010001667&src=etc*search
51,(주)케이피엠씨,AI-Native 펌웨어 풀스택 개발자 (스마트 공유주차플랫폼),서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020004480&src=etc*search
52,에이치알포유(주),[] 9자리 이상[] 백엔드 엔지니어 (시니어),서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020002428&src=etc*search
53,에이피써치,[특허 버티컬 AI 전문 기업] 백엔드 엔지니어,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606300003713&src=etc*search
54,(주)엘핀,AI 어플리케이션 개발자 채용,서울 강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010005107&src=etc*search
55,비전서치,상장 대기업 마케팅 플랫폼 개발 Martech 엔지니어,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607040000170&src=etc*search
56,써치스퀘어,"AI Engineer (설계,개발,운영)",서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606220001269&src=etc*search
57,(주)제이드크로스,솔루션 S/W 엔지니어 정규직 채용(개발경력 3년이상),서울 서초구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606190002040&src=etc*search
58,(주)씨에스이,연구개발팀 모집합니다.(2명),경기 오산시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020003710&src=etc*search
59,삼양식품,[삼양식품]  IT팀 Back-end개발자,서울 성북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606090000011&src=etc*search
60,(주)엔터웨이파트너스,AI 엔지니어 - 인공지능(AI)디자인 전문기업,경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090002040&src=etc*search
61,제너레잇,Python Algorithm Engineer (파이썬 개발자),역무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=357677&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
62,퓨처게이트,"C, C++, 파이선 프로그래밍 언어 가능한 개발자(신입)",역무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=360559&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
63,(주)이에치코어,"SK 파트너, 이에치코어에서 Python 및 Langgraph 개발 경험자 찾습니다",경기도 이천시 부발읍 경충대로2050번길 59-72,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180332606190023&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
64,매도왕,Python 개발자,서울 서초구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=362894&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
65,바이오리서치에이아이,파이썬/검색엔진 엔지니어,서울 강남구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=322495&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
66,베터리얼,제조업 관련 Python 개발자,경기 성남시,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=371991&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
67,씨메스로보틱스,Backend (Python) 개발자,역무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=365749&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
68,포인드주식회사,포인드(주) 인공지능·딥러닝 개발자 채용 (경력),경상북도 구미시 구미대로 350-27,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141212606150010&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
69,포인드주식회사,포인드(주) 인공지능·딥러닝 개발자 채용 (신입),경상북도 구미시 구미대로 350-27,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141212606150011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
70,디써클,[Node.js/Kotlin/Python] 백엔드 엔지니어,서울 강남구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=367980&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
71,랩스피너,Python 기반 의료기기 장비 제어 소프트웨어 개발자,정보제공처 : 원티드,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=372071&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
72,지엔,"Backend Developer (Mid-Level, python)",서울 금천구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=371500&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
73,디써클,[인턴] [Node.js/Kotlin/Python] 백엔드 엔지니어,정보제공처 : 원티드,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=369979&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
74,더페어글로벌,백엔드 개발자 (Python / 4년 이상),서울 강남구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=368594&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
75,더페어글로벌,백엔드 개발자 (Python / 3년 이상),서울 강남구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=366904&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
76,더페어글로벌,백엔드 개발자 (Python / 5년 이상),서울 강남구,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=359269&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
77,주식회사빅앤딥,"[서울 문정] [경력3년이상 4,300~8,500] C++응용소프트웨어, React/Python개발자 등",서울특별시 송파구 법원로 114,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120232607060025&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
