No,회사,제목,지역,상세보기
123,(주)창성텍,[Python]제품개발 및 개발자 채용,경기 화성시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54258660&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
124,(주)바로팜,백엔드 개발자 (Python),서울 동작구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54155874&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
125,토모도모(주),N은행 AI감사포털 신규 구축 Python 중급 개발자 채용(의왕),경기 의왕시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54308104&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
126,(주)웨어비즈,AI제품(Python) 개발 경력직(10년 이상) 채용,서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54206701&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
127,주식회사 스피어코퍼레이션,Python Developer - Sales Analytics (KOR),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54227736&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
128,(주)밸리언트데이터,(주)밸리언트데이터에서 Python Web Full-Stack 개발자를 찾고 있어요,경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54118653&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
129,(주)제이투이,[Python SI 시청역] 은행 대화형 에이전트 빌더 구축 (3),서울 중구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54204561&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
130,(주)제이투이,[AI개발 SI 증미역] Python 기반 AI 관련 개발자 모집 (8),서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54427171&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
131,(주)에이블랩스,자동화 장비 제어 SW 엔지니어(Python),인천 연수구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54364059&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
132,모드니사회적협동조합,긴급) SK하이닉스 분당 AI 개발자 (Python / Lang Graph) 고급,경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54408530&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
133,(주)데이터랩스,[데이터랩스] LLM을 위한 Python 개발 AI 서비스 경력자 모집,서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54183368&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
134,(주)뉴로다임,파이선 개발자 채용,서울 성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54280425&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
135,골든비네트워크(주),"장비 제어 프로그램 개발(Linux, C++, python, 대리~차장급)",경기 수원시 권선구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54289813&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
136,(주)메이븐앤컴퍼니,Python Developer,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54293485&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
137,(주)스마트뱅크,AI 서비스 플랫폼 개발자(경력) 모집(PYTHON),부산 연제구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54352017&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
138,(주)크리에이트크루,[개발팀] 백엔드 개발자 (Python),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53948095&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
139,리메세(주),정교하고 실행력 있는 엔지니어 (Python),서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54345371&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
140,(주)빅앤딥,"[서울 문정] [경력3년이상 4,300~8,500] C++, Python 백엔드개발",서울 송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53999668&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
141,(주)프리즘투자자문,백엔드 엔지니어(C# Python) 채용(일부재택/유연근무),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54204377&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
142,(주)프리즘투자자문,백엔드 엔지니어(C# Python) 채용(유연근무),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54218713&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
143,엑스보스주식회사,Python 워크플로우 자동화 개발자,서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54282488&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
144,(주)엔엔에프텍,"신입 소프트웨어 개발자 (C, Python 등)",대전 유성구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54309171&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
145,GL컴퍼니,로봇 소프트웨어 개발자(Python · ROS) 모집(신입/경력),부산 사상구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54214213&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
146,클립데이터(주),"Python , DJango/DJangoRestframework 기반 웹서비스 개발",서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54255019&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
147,(주)빅링크에이아이,생성형 AI 빅데이터 마케팅 플랫폼 데이터엔지니어(python)채용,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54004173&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
148,부산인터넷방송국,"Java, PHP, Python, CMS 웹응용프로그램 개발자 모집",부산 부산진구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54278764&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
149,(주)지에스아이오토모티브,"SW 품질 SQA(Python, APP, Web) 인원 정규직 채용",서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54378701&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
150,케이엠아이시스템(주),케이엠아이시스템(주)-컴퓨터 전공자(C#/파이선) 경력 모집,경기 성남시 중원구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54244693&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
151,(주)엔이에스,엔이에스 Python 개발자 채용,충북 청주시 청원구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54355006&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
152,(주)펫박스,Python 백엔드 개발자_9년이상,서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54307262&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
153,(주)펫박스,Python 백엔드 개발자_6년~8년 채용,서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54307186&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
154,(주)엠이에이엔,(주)엠이에이엔에서 AI Agent·Python 개발자 모시고 있어요,경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54416515&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
155,주식회사 오토패스,주식회사 오토패스에서 Python·AWS·OCR 개발자 모셔요,경기 파주시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54074200&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
156,엠케이시스템,엠케이시스템에서 Python/Flask 개발자 모셔요,서울 영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54432206&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
157,에이치알포유(주),Python 백엔드 엔지니어 (9자리),경기 화성시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54349715&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
158,(주)대원씨앤씨,"[종로] C# 시스템 Python 전환 개발 (azure devops /Python, C#)",서울 종로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54361530&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
159,(주)지란지교에스앤씨,"Linux/Unix 기반 개발자(경력) 모집 (c, python, go)",서울 송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54026578&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
160,(주)씨이랩,[경력] AI Agent & Python Backend Engineer,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54105220&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
161,(주)링크제니시스,차량용 S/W Test 자동화 개발(Python),인천 서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54078638&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
162,(주)왓섭,"[금융, IT] Python 백엔드 개발자 3년차",서울 영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53929562&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
163,(주)창성텍,[Python]제품개발 및 개발자 채용,경기 화성시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54258660&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
164,(주)바로팜,백엔드 개발자 (Python),서울 동작구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54155874&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
165,토모도모(주),N은행 AI감사포털 신규 구축 Python 중급 개발자 채용(의왕),경기 의왕시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54308104&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
166,(주)웨어비즈,AI제품(Python) 개발 경력직(10년 이상) 채용,서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54206701&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
167,주식회사 스피어코퍼레이션,Python Developer - Sales Analytics (KOR),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54227736&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
168,(주)밸리언트데이터,(주)밸리언트데이터에서 Python Web Full-Stack 개발자를 찾고 있어요,경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54118653&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
169,(주)제이투이,[Python SI 시청역] 은행 대화형 에이전트 빌더 구축 (3),서울 중구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54204561&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
170,(주)제이투이,[AI개발 SI 증미역] Python 기반 AI 관련 개발자 모집 (8),서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54427171&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
171,(주)에이블랩스,자동화 장비 제어 SW 엔지니어(Python),인천 연수구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54364059&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
172,모드니사회적협동조합,긴급) SK하이닉스 분당 AI 개발자 (Python / Lang Graph) 고급,경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54408530&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
173,(주)데이터랩스,[데이터랩스] LLM을 위한 Python 개발 AI 서비스 경력자 모집,서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54183368&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
174,(주)뉴로다임,파이선 개발자 채용,서울 성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54280425&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
175,골든비네트워크(주),"장비 제어 프로그램 개발(Linux, C++, python, 대리~차장급)",경기 수원시 권선구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54289813&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
176,(주)메이븐앤컴퍼니,Python Developer,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54293485&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=45c76865-0b17-4dc5-9031-41b27129dbe2
